ID,Brood Modification Strategy,Worker Modification Strategy,MarNrMatings,PopSize,Queen's initial energy,Queen's initial speed,Speed reduction factor,Energy reduction amount,Probability to mate drone threshold,Fitness values,Number of iterations,Duration,kCal,Carbohydrates,Proteins,Fats,VitA,VitB,VitC,VitD,Calcium,Iron,Sodium,Breakfast,Lunch,Dinner,Snack1,Snack2,Cost,Delivery time
20150609_105818,Simple Crossover,[Hill Climbing; Simulated Annealing; Simple tabu search],15,20,100,100,0.9,5.0,0.05,0.9288842082023621,42,900,2138.063,223.8825,110.13236,93.24752,1052.1737,2.164324,82.88889,3.6964028,433.2412,14.489447,3226.477,MenuId: 97 Starter: -no starter MainCourse: 5017 - An Irish Fry - Country Living  Desert: 1011 - Cinnamon roll  Cost: 10.0 DeliveryTime(min): 60,MenuId: 27815 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 5002 - A Cauldron of Beans  Desert: 3104 - Arroz Dulce  Cost: 16.0 DeliveryTime(min): 30,MenuId: 36398 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3040 - Arkansas Brown Rice  Desert: 5013 - Ambrosia Sorbet  Cost: 18.0 DeliveryTime(min): 24,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,66.0,47.0
20150609_105824,Simple Crossover,[Hill Climbing; Simulated Annealing; Simple tabu search],15,20,100,100,0.9,5.0,0.05,0.9274912476539612,25,407,2381.2507,238.39406,125.12464,107.7408,1252.562,2.5635633,103.20616,7.52849,607.24054,14.362665,3876.482,MenuId: 99 Starter: -no starter MainCourse: 5017 - An Irish Fry - Country Living  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 21.0 DeliveryTime(min): 20,MenuId: 25804 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3020 - Arabian Stew  Desert: 3093 - Arroz Con Leche  Cost: 15.0 DeliveryTime(min): 31,MenuId: 36801 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3094 - Arroz Con Leche De Coco  Desert: 1000 - Lemon bars  Cost: 11.0 DeliveryTime(min): 28,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,69.0,40.0
20150609_105826,Simple Crossover,[Hill Climbing; Simulated Annealing; Simple tabu search],15,20,100,100,0.9,5.0,0.05,0.9290354251861572,35,798,2736.963,322.58618,117.84118,115.10596,1130.1807,2.2756953,48.17159,4.541135,528.7493,14.682117,2959.0686,MenuId: 5 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 1011 - Cinnamon roll  Cost: 29.0 DeliveryTime(min): 35,MenuId: 27184 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3085 - Arrabbiata-Style Spagheti  Desert: 3093 - Arroz Con Leche  Cost: 13.0 DeliveryTime(min): 29,MenuId: 36209 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3008 - Apricot Pork Medallions  Desert: 5014 - Amish Sugar Cookies  Cost: 13.0 DeliveryTime(min): 57,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,77.0,48.4
20150609_105831,Simple Crossover,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9211905598640442,44,109,2625.4873,286.5269,150.67564,98.94727,1146.1238,2.7429757,77.76503,7.708842,589.1595,21.294703,3844.5542,MenuId: 3 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 25.0 DeliveryTime(min): 24,MenuId: 12831 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 3087 - Arroz Amarillo Con Camarones  Desert: 3010 - Apricot Salad  Cost: 12.0 DeliveryTime(min): 23,MenuId: 36479 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3057 - Armenian Rice Pilaf  Desert: 5014 - Amish Sugar Cookies  Cost: 10.0 DeliveryTime(min): 23,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,69.0,38.2
20150609_105832,Simple Crossover,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9239996671676636,67,168,2741.374,239.94127,141.4792,139.70285,1033.62,2.8120034,92.92492,3.1237578,474.1438,17.689718,3281.9587,MenuId: 5 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 1011 - Cinnamon roll  Cost: 29.0 DeliveryTime(min): 35,MenuId: 5567 Starter: 3025 - Arcadian Garlic Soup  MainCourse: 3085 - Arrabbiata-Style Spagheti  Desert: 3005 - Apricot Pear Tart  Cost: 10.0 DeliveryTime(min): 20,MenuId: 36617 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3073 - Aromataic Cannellini Beans  Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 11.0 DeliveryTime(min): 21,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,72.0,47.0
20150609_105832,Simple Crossover,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9248175024986267,32,67,2476.9292,272.19818,126.21516,103.2885,1072.5906,2.6551166,97.82031,3.9039903,429.2003,16.542967,2900.7295,MenuId: 38 Starter: -no starter MainCourse: 3078 - Aromatic Green Casserole  Desert: 3013 - Apricot Sour Cream Pie  Cost: 14.0 DeliveryTime(min): 84,MenuId: 27698 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3103 - Arroz De Sabato  Desert: 5013 - Ambrosia Sorbet  Cost: 16.0 DeliveryTime(min): 24,MenuId: 36541 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3066 - Arni Fricasse  Desert: 1000 - Lemon bars  Cost: 22.0 DeliveryTime(min): 20,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,74.0,49.8
20150609_105833,Simple Crossover,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9235407114028931,49,103,3059.3633,358.51062,140.60324,120.91506,1184.0284,2.7798486,85.20672,6.4811673,569.8113,20.782719,3514.0193,MenuId: 1 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 1011 - Cinnamon roll  Cost: 18.0 DeliveryTime(min): 45,MenuId: 22055 Starter: 3064 - Arnaud's Sweet Potato and Andouille Soup  MainCourse: 3008 - Apricot Pork Medallions  Desert: 3104 - Arroz Dulce  Cost: 18.0 DeliveryTime(min): 26,MenuId: 36861 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3100 - Arroz De Bacalhau  Desert: 1000 - Lemon bars  Cost: 11.0 DeliveryTime(min): 33,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,69.0,52.6
20150609_105833,Simple Crossover,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9285410642623901,91,175,2803.714,333.6634,116.76323,118.05338,1312.0787,2.1458135,78.955765,2.3911932,620.85925,18.443834,2882.3926,MenuId: 6 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 3013 - Apricot Sour Cream Pie  Cost: 16.0 DeliveryTime(min): 56,MenuId: 27907 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 5007 - Almost Pasta Primavera  Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 18.0 DeliveryTime(min): 31,MenuId: 36722 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3085 - Arrabbiata-Style Spagheti  Desert: 1007 - Chocolate Fudge  Cost: 13.0 DeliveryTime(min): 33,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,69.0,48.2
20150609_105834,Simple Crossover,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9197950959205627,31,63,2148.3564,250.38452,99.32572,89.702415,1079.8239,2.147479,141.70695,2.354872,360.05856,15.02383,2982.265,MenuId: 89 Starter: -no starter MainCourse: 3110 - Artichoke and Orange Salad  Desert: 1011 - Cinnamon roll  Cost: 13.0 DeliveryTime(min): 68,MenuId: 26688 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3068 - Arni Lemonato  Desert: 3006 - Apricot Pie  Cost: 34.0 DeliveryTime(min): 22,MenuId: 36861 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3100 - Arroz De Bacalhau  Desert: 1000 - Lemon bars  Cost: 11.0 DeliveryTime(min): 33,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,80.0,48.8
20150609_105834,Simple Crossover,[Hill Climbing],15,20,100,100,0.9,5.0,0.05,0.9232732057571411,45,101,2779.4722,272.3397,168.24257,118.9945,1349.6122,2.4029646,127.29247,3.9372132,770.653,26.929739,2926.9233,MenuId: 83 Starter: -no starter MainCourse: 3108 - Artichoke and Cherry Tomato Tarts  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 15.0 DeliveryTime(min): 34,MenuId: 27891 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 5007 - Almost Pasta Primavera  Desert: 3010 - Apricot Salad  Cost: 10.0 DeliveryTime(min): 67,MenuId: 36652 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3077 - Aromatic Duck  Desert: 1007 - Chocolate Fudge  Cost: 11.0 DeliveryTime(min): 20,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,58.0,48.4
