ID,AlgVersion,Nest Size,Max Iterations,PA,Hill-Climb negih size,T0,alpha,Tmin,TabuSearchIters,Tabu Size,Tabu neigh size,Number of iterations,Fitness Min,Fitness Max,Fitness Avg,Duration Min,Duration Max,Duration Avg,kCal,Carbohydrates,Proteins,Fats,VitA,VitB,VitC,VitD,Calcium,Iron,Sodium,Breakfast,Lunch,Dinner,Snack1,Snack2,Cost,Delivery time
20150613_183156,Version1,10,100,0.2,10,0.001,0.7,1.0E-4,10,10,10,0,0.7375058531761169,0.8166490197181702,0.764771693944931,31,84,46.3,4139.842,268.13153,254.67361,227.19621,1158.0021,4.4161177,98.803566,8.576469,977.6644,31.447178,4976.3853,MenuId: 9 Starter: -no starter MainCourse: 3030 - Argentinian Cheeseburger Sandwich  Desert: 1011 - Cinnamon roll  Cost: 25.0 DeliveryTime(min): 28,MenuId: 12227 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 3066 - Arni Fricasse  Desert: 3005 - Apricot Pear Tart  Cost: 11.0 DeliveryTime(min): 25,MenuId: 37125 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1269 - Herbed Pork Cutlets with 5000 - A_Better_Banana_Bread;_Low_Fat Desert: 1254 - Beef Stroganoff  Cost: 17.0 DeliveryTime(min): 21,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 28.0 DeliveryTime(min): 89,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,91.0,52.4
20150613_183156,Version2,10,100,0.2,10,0.001,0.7,1.0E-4,10,10,10,0,0.7898593544960022,0.8294069766998291,0.8092366695404053,19,34,24.1,4019.3389,283.58386,274.82474,198.25218,1210.9968,5.950869,108.75543,7.5832906,834.2867,27.250977,4366.706,MenuId: 11 Starter: -no starter MainCourse: 3030 - Argentinian Cheeseburger Sandwich  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 28.0 DeliveryTime(min): 36,MenuId: 12770 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 3085 - Arrabbiata-Style Spagheti  Desert: 3009 - Apricot Rice Pudding  Cost: 13.0 DeliveryTime(min): 46,MenuId: 37007 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 5006 - Al and Tipper Gore's Chinese Chicken with Walnuts  Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 13.0 DeliveryTime(min): 27,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,76.0,46.0
20150613_183158,Version3,10,100,0.2,10,0.001,0.7,1.0E-4,10,10,10,0,0.8468942642211914,0.8583512902259827,0.8527391195297241,120,159,134.6,2086.3826,205.11172,97.94253,103.21562,1416.2732,2.1002846,88.32864,2.6635044,436.85703,11.513203,2538.0356,MenuId: 5 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 1011 - Cinnamon roll  Cost: 29.0 DeliveryTime(min): 35,MenuId: 27894 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 5007 - Almost Pasta Primavera  Desert: 3016 - Apricot Torte  Cost: 12.0 DeliveryTime(min): 34,MenuId: 36251 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3020 - Arabian Stew  Desert: 1000 - Lemon bars  Cost: 10.0 DeliveryTime(min): 35,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,73.0,45.0
20150613_183201,Version4,10,100,0.2,10,0.001,0.7,1.0E-4,10,10,10,0,0.8498798608779907,0.8577099442481995,0.8535583555698395,250,469,278.7,1908.5428,162.08345,103.272385,98.56757,924.12274,1.927973,80.4891,4.51235,356.05563,12.82419,2768.5735,MenuId: 39 Starter: -no starter MainCourse: 3078 - Aromatic Green Casserole  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 17.0 DeliveryTime(min): 66,MenuId: 12287 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 3068 - Arni Lemonato  Desert: 3005 - Apricot Pear Tart  Cost: 18.0 DeliveryTime(min): 47,MenuId: 36561 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3068 - Arni Lemonato  Desert: 1000 - Lemon bars  Cost: 13.0 DeliveryTime(min): 29,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,70.0,52.6
20150613_183201,Version1,10,100,0.4,10,0.001,0.7,1.0E-4,10,10,10,0,0.7071250081062317,0.7940855622291565,0.7395788908004761,18,20,18.9,5325.424,485.3906,201.5523,291.39905,1269.8717,4.9250584,181.71788,3.240287,787.06635,26.99895,7752.316,MenuId: 6 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 3013 - Apricot Sour Cream Pie  Cost: 16.0 DeliveryTime(min): 56,MenuId: 28837 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 5008 - Aloha Chicken with 5000 - A_Better_Banana_Bread;_Low_Fat Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 11.0 DeliveryTime(min): 26,MenuId: 36842 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3098 - Arroz Con Pollo-Betty Crockers Red Spoon Collection  Desert: 1007 - Chocolate Fudge  Cost: 23.0 DeliveryTime(min): 79,MenuId: 37382 Starter: -no starter MainCourse: 5010 - Amaranth; Fig and Arugula Salad W/sesame Dres  Desert: - no desert  Cost: 39.0 DeliveryTime(min): 45,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,101.0,47.6
20150613_183201,Version2,10,100,0.4,10,0.001,0.7,1.0E-4,10,10,10,0,0.7885844111442566,0.8300795555114746,0.8086461424827576,18,24,20.3,3546.688,403.65683,158.20593,152.71957,1394.0955,3.9793868,183.8424,9.16042,730.0681,24.456738,4679.833,MenuId: 32 Starter: -no starter MainCourse: 3054 - Armenian Potato Salad  Desert: 3042 - Arkansas German Baked Pancake  Cost: 20.0 DeliveryTime(min): 66,MenuId: 21992 Starter: 3064 - Arnaud's Sweet Potato and Andouille Soup  MainCourse: 1274 - Tuna Burger  Desert: 3052 - Armenian Nutmeg Cake  Cost: 14.0 DeliveryTime(min): 46,MenuId: 36941 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: 1000 - Lemon bars  Cost: 11.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,67.0,53.0
20150613_183202,Version3,10,100,0.4,10,0.001,0.7,1.0E-4,10,10,10,0,0.8463096618652344,0.8558005690574646,0.8506128013134002,84,102,93.1,2342.5503,288.36212,102.81478,92.26298,1206.4471,2.0081627,62.503532,2.382181,457.97263,13.304497,3168.248,MenuId: 6 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 3013 - Apricot Sour Cream Pie  Cost: 16.0 DeliveryTime(min): 56,MenuId: 27828 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 5004 - A Mold of Roquefort  Desert: 3006 - Apricot Pie  Cost: 12.0 DeliveryTime(min): 52,MenuId: 36467 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3056 - Armenian Rice  Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 13.0 DeliveryTime(min): 24,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,63.0,50.6
20150613_183204,Version4,10,100,0.4,10,0.001,0.7,1.0E-4,10,10,10,0,0.8495364189147949,0.8595174551010132,0.8543877243995667,218,238,225.7,2529.043,270.2684,112.10995,111.46064,1116.322,2.363332,104.20153,1.897478,758.32874,12.8041725,3343.9226,MenuId: 49 Starter: -no starter MainCourse: 3089 - Arroz Bianco  Desert: 1011 - Cinnamon roll  Cost: 21.0 DeliveryTime(min): 42,MenuId: 25377 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 1016 - Irish Potato casserole  Desert: 3022 - Arancia Genovese  Cost: 15.0 DeliveryTime(min): 26,MenuId: 36466 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3056 - Armenian Rice  Desert: 5011 - Amaretto Apples with Meringue  Cost: 16.0 DeliveryTime(min): 44,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,74.0,46.6
20150613_183204,Version1,10,100,0.6,10,0.001,0.7,1.0E-4,10,10,10,0,0.71796715259552,0.7717324495315552,0.7465120315551758,17,22,18.5,3565.461,393.82587,228.58727,126.477875,1146.6112,5.438889,258.89465,6.044675,793.95526,27.139624,3619.7979,MenuId: 28 Starter: -no starter MainCourse: 3053 - Armenian Potato Salad with Red Onions and Green Pepper  Desert: 3042 - Arkansas German Baked Pancake  Cost: 11.0 DeliveryTime(min): 23,MenuId: 28701 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 1278 - Peach Pork Saute with 5003 - A Dilly-Of-An-Onion Bread Desert: 3010 - Apricot Salad  Cost: 29.0 DeliveryTime(min): 87,MenuId: 36583 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3070 - Arni Psito Me Patates  Desert: 1031 - Vegetable Chilli  Cost: 18.0 DeliveryTime(min): 47,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 40.0 DeliveryTime(min): 63,110.0,50.4
20150613_183205,Version2,10,100,0.6,10,0.001,0.7,1.0E-4,10,10,10,0,0.783673882484436,0.824315071105957,0.8043160974979401,17,20,17.9,2124.7947,175.43062,121.65136,104.2068,1105.8657,2.5213473,218.28304,4.078275,655.2548,16.927591,4660.4004,MenuId: 17 Starter: -no starter MainCourse: 3047 - Special Armadillo Eggs  Desert: 1011 - Cinnamon roll  Cost: 27.0 DeliveryTime(min): 26,MenuId: 26020 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3031 - Ariel's Peppercorn Steak (Or Steak Au Poivre)  Desert: 5016 - Amor Frio (Cold Love) - Wheat-Free Recipe  Cost: 12.0 DeliveryTime(min): 35,MenuId: 36430 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3049 - Armenian Sandwich  Desert: 5016 - Amor Frio (Cold Love) - Wheat-Free Recipe  Cost: 12.0 DeliveryTime(min): 40,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,73.0,52.0
