ID,AlgVersion,Nest Size,Max Iterations,PA,Hill-Climb negih size,T0,alpha,Tmin,TabuSearchIters,Tabu Size,Tabu neigh size,Number of iterations,Fitness Min,Fitness Max,Fitness Avg,Duration Min,Duration Max,Duration Avg,kCal,Carbohydrates,Proteins,Fats,VitA,VitB,VitC,VitD,Calcium,Iron,Sodium,Breakfast,Lunch,Dinner,Snack1,Snack2,Cost,Delivery time
20150616_150905,Version1,10,50,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.705905318,0.785651922,0.733647215,8,15,9.4,3871.296,255.49146,185.69351,233.2751,896.14056,3.1040542,148.32704,2.873615,807.2409,24.242617,7230.958,MenuId: 95 Starter: -no starter MainCourse: 5010 - Amaranth; Fig and Arugula Salad W/sesame Dres  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 12.0 DeliveryTime(min): 23,MenuId: 26796 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3071 - Arni Souvlaki  Desert: 5011 - Amaretto Apples with Meringue  Cost: 11.0 DeliveryTime(min): 93,MenuId: 36635 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3075 - Aromatic Cabbage  Desert: 1254 - Beef Stroganoff  Cost: 27.0 DeliveryTime(min): 81,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 38.0 DeliveryTime(min): 38,100,51.4
20150616_150907,Version1,10,100,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.707966805,0.77978754,0.735276371,16,18,17.2,3231.9922,247.13638,232.76843,147.18443,980.1084,4.657895,161.3891,4.5183654,805.6745,25.24436,4731.0767,MenuId: 55 Starter: -no starter MainCourse: 3090 - Arroz Caliente  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 39.0 DeliveryTime(min): 71,MenuId: 35927 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1278 - Peach Pork Saute with 5005 - A Taste of Thailand Desert: 3005 - Apricot Pear Tart  Cost: 27.0 DeliveryTime(min): 22,MenuId: 36112 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1013 - Pasta salad  Desert: 1007 - Chocolate Fudge  Cost: 14.0 DeliveryTime(min): 56,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,102,61.6
20150616_150910,Version1,10,250,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.721073985,0.831553936,0.774346757,42,48,44,3288.7222,230.67535,216.62927,170.23773,1055.7473,4.249704,139.11023,3.9681296,536.00745,21.897903,3890.6353,MenuId: 37 Starter: -no starter MainCourse: 3078 - Aromatic Green Casserole  Desert: 1011 - Cinnamon roll  Cost: 48.0 DeliveryTime(min): 43,MenuId: 26773 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3071 - Arni Souvlaki  Desert: 1254 - Beef Stroganoff  Cost: 10.0 DeliveryTime(min): 90,MenuId: 36389 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3038 - Arizona Style Chicken Salad  Desert: 5014 - Amish Sugar Cookies  Cost: 13.0 DeliveryTime(min): 21,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,93,57
20150616_150918,Version1,10,500,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.74522537,0.803301871,0.775506037,85,94,88.2,4198.624,394.06882,212.1096,208.00912,1516.7928,3.9275174,225.90108,10.577662,1095.1758,32.04216,7055.0127,MenuId: 8 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 3042 - Arkansas German Baked Pancake  Cost: 16.0 DeliveryTime(min): 84,MenuId: 14038 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 1270 - Lamb Grill with 5005 - A Taste of Thailand Desert: 3036 - Arizona Pecan Chocolate Rum Pie  Cost: 14.0 DeliveryTime(min): 87,MenuId: 36169 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1054 - Cheesy Turkey Casserole  Desert: 5014 - Amish Sugar Cookies  Cost: 31.0 DeliveryTime(min): 53,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,85,55.6
20150616_150932,Version1,10,750,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.74462992,0.81550622,0.782795727,129,135,132.8,4632.127,425.71915,275.9727,213.02911,2291.5496,5.654074,212.8061,9.845786,1500.4432,37.666275,4113.3813,MenuId: 1 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 1011 - Cinnamon roll  Cost: 30.0 DeliveryTime(min): 49,MenuId: 1935 Starter: 1126 - Vegetable soup  MainCourse: 3083 - Arook Thayin  Desert: 3001 - Apricot Nut Muffins  Cost: 16.0 DeliveryTime(min): 89,MenuId: 36123 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1016 - Irish Potato casserole  Desert: 1031 - Vegetable Chilli  Cost: 14.0 DeliveryTime(min): 20,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,82,57.8
20150616_150953,Version1,10,1000,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.759186625,0.812514842,0.793314594,178,187,180.9,2531.67,245.32045,183.5683,96.00904,782.2537,3.8290682,289.5786,1.419863,614.2356,21.634756,6621.82,MenuId: 29 Starter: -no starter MainCourse: 3054 - Armenian Potato Salad  Desert: 1011 - Cinnamon roll  Cost: 24.0 DeliveryTime(min): 76,MenuId: 26781 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3071 - Arni Souvlaki  Desert: 3010 - Apricot Salad  Cost: 10.0 DeliveryTime(min): 43,MenuId: 37095 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1127 - Garlic Chicken with 5005 - A Taste of Thailand Desert: 1254 - Beef Stroganoff  Cost: 11.0 DeliveryTime(min): 23,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 25.0 DeliveryTime(min): 54,MenuId: 37381 Starter: -no starter MainCourse: 3110 - Artichoke and Orange Salad  Desert: - no desert  Cost: 19.0 DeliveryTime(min): 80,89,55.2
20150616_151021,Version1,10,1500,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.772508383,0.822191358,0.79635219,259,278,265.4,3072.834,260.20392,205.314,139.43591,1793.9869,4.06159,155.95708,11.407115,1187.8579,24.045738,3358.243,MenuId: 27 Starter: -no starter MainCourse: 3053 - Armenian Potato Salad with Red Onions and Green Pepper  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 24.0 DeliveryTime(min): 20,MenuId: 25526 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 1059 - Shrimp Casserole  Desert: 3021 - Arabic Honey Cake  Cost: 29.0 DeliveryTime(min): 31,MenuId: 36713 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3083 - Arook Thayin  Desert: 1031 - Vegetable Chilli  Cost: 21.0 DeliveryTime(min): 28,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,96,47.6
20150616_150905,Version2,10,50,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.720978141,0.818692327,0.784884667,8,9,8.4,2999.4553,365.40237,160.62572,107.44763,1405.8485,2.9543629,193.49863,6.53675,852.42145,26.103668,3642.74,MenuId: 75 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 15.0 DeliveryTime(min): 29,MenuId: 25583 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 1274 - Tuna Burger  Desert: 3013 - Apricot Sour Cream Pie  Cost: 16.0 DeliveryTime(min): 63,MenuId: 36202 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3008 - Apricot Pork Medallions  Desert: 1007 - Chocolate Fudge  Cost: 34.0 DeliveryTime(min): 67,MenuId: 37381 Starter: -no starter MainCourse: 3110 - Artichoke and Orange Salad  Desert: - no desert  Cost: 19.0 DeliveryTime(min): 80,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,96,52.2
20150616_150907,Version2,10,100,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.745126665,0.823310792,0.807952029,16,21,17.1,3529.5408,234.10957,256.1995,172.89154,914.4028,4.3903117,82.780464,5.213013,808.6708,26.676437,7794.326,MenuId: 9 Starter: -no starter MainCourse: 3030 - Argentinian Cheeseburger Sandwich  Desert: 1011 - Cinnamon roll  Cost: 45.0 DeliveryTime(min): 50,MenuId: 13693 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 1127 - Garlic Chicken with 5003 - A Dilly-Of-An-Onion Bread Desert: 1254 - Beef Stroganoff  Cost: 14.0 DeliveryTime(min): 71,MenuId: 37218 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1275 - Turkey Piccata with 1132 - Rice Pilaf with Mushrooms Desert: 5013 - Ambrosia Sorbet  Cost: 26.0 DeliveryTime(min): 43,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,107,57
20150616_150911,Version2,10,250,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.816486716,0.841665089,0.827883035,41,47,42.6,3124.476,331.06348,154.46819,131.61395,1351.5209,3.2486825,125.86223,7.4847226,739.4087,21.481844,3748.748,MenuId: 1 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 1011 - Cinnamon roll  Cost: 30.0 DeliveryTime(min): 49,MenuId: 13488 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 5007 - Almost Pasta Primavera  Desert: 3006 - Apricot Pie  Cost: 17.0 DeliveryTime(min): 33,MenuId: 36896 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3103 - Arroz De Sabato  Desert: 5011 - Amaretto Apples with Meringue  Cost: 11.0 DeliveryTime(min): 20,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,80,46.6
20150616_150919,Version2,10,500,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.826638579,0.84382236,0.833832049,83,90,86.6,2470.6074,209.35689,128.99083,128.64093,1300.405,2.6141415,64.234566,4.5192566,667.42163,15.054104,2378.9058,MenuId: 55 Starter: -no starter MainCourse: 3090 - Arroz Caliente  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 37.0 DeliveryTime(min): 26,MenuId: 26403 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3056 - Armenian Rice  Desert: 3063 - Arnaud's Creme Brulee  Cost: 10.0 DeliveryTime(min): 20,MenuId: 36469 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3056 - Armenian Rice  Desert: 5014 - Amish Sugar Cookies  Cost: 11.0 DeliveryTime(min): 46,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,80,50.2
20150616_150933,Version2,10,750,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.832142472,0.850371182,0.839221495,120,130,127.3,2239.155,191.35701,121.89224,113.23278,957.38055,2.377454,118.82935,5.807225,443.4851,15.288719,3762.014,MenuId: 99 Starter: -no starter MainCourse: 5017 - An Irish Fry - Country Living  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 19.0 DeliveryTime(min): 91,MenuId: 12587 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 3078 - Aromatic Green Casserole  Desert: 3005 - Apricot Pear Tart  Cost: 10.0 DeliveryTime(min): 20,MenuId: 36478 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3057 - Armenian Rice Pilaf  Desert: 5013 - Ambrosia Sorbet  Cost: 14.0 DeliveryTime(min): 22,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,65,50.8
20150616_150955,Version2,10,1000,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.832023919,0.849013209,0.840329391,164,176,170.1,2612.9941,250.06097,130.95415,127.605415,1375.3953,2.659451,100.839485,6.850264,693.9492,19.320461,3456.667,MenuId: 83 Starter: -no starter MainCourse: 3108 - Artichoke and Cherry Tomato Tarts  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 15.0 DeliveryTime(min): 34,MenuId: 27415 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3094 - Arroz Con Leche De Coco  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 22.0 DeliveryTime(min): 33,MenuId: 37129 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1269 - Herbed Pork Cutlets with 5000 - A_Better_Banana_Bread;_Low_Fat Desert: 5014 - Amish Sugar Cookies  Cost: 19.0 DeliveryTime(min): 47,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,78,47
20150616_151024,Version2,10,1500,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.841758013,0.851712704,0.845584226,241,257,248.5,2325.125,233.65854,121.5448,100.15486,1193.7948,2.2685754,119.94318,5.4542303,503.49643,14.389324,2935.0593,MenuId: 99 Starter: -no starter MainCourse: 5017 - An Irish Fry - Country Living  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 21.0 DeliveryTime(min): 20,MenuId: 26707 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3068 - Arni Lemonato  Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 16.0 DeliveryTime(min): 26,MenuId: 36566 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3068 - Arni Lemonato  Desert: 5011 - Amaretto Apples with Meringue  Cost: 17.0 DeliveryTime(min): 30,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,76,47
20150616_150905,Version3,10,50,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.836689472,0.856756449,0.846408284,32,40,36.2,3374.169,283.1563,157.87422,175.34413,1023.35114,3.20628,109.25819,4.9260035,563.0334,24.652504,2904.4912,MenuId: 1 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 1011 - Cinnamon roll  Cost: 14.0 DeliveryTime(min): 45,MenuId: 30636 Starter: 3112 - Artichoke and Oyster Soup  MainCourse: 3079 - Aromatic Lamb  Desert: 5011 - Amaretto Apples with Meringue  Cost: 13.0 DeliveryTime(min): 23,MenuId: 36466 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3056 - Armenian Rice  Desert: 5011 - Amaretto Apples with Meringue  Cost: 16.0 DeliveryTime(min): 44,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,65,46.6
20150616_150908,Version3,10,100,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.842487931,0.858502984,0.850234789,62,73,67.4,2817.812,336.6211,117.3898,115.87625,1031.5802,2.2071834,76.16606,3.04423,484.7669,22.705702,2610.2983,MenuId: 6 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 3013 - Apricot Sour Cream Pie  Cost: 18.0 DeliveryTime(min): 42,MenuId: 27625 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3101 - Arroz De Huaca  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 19.0 DeliveryTime(min): 40,MenuId: 36742 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3087 - Arroz Amarillo Con Camarones  Desert: 1007 - Chocolate Fudge  Cost: 10.0 DeliveryTime(min): 37,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,69,48
20150616_150912,Version3,10,250,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.835407257,0.858457327,0.850156188,147,178,155.6,2906.1055,285.97137,145.95432,134.56671,1298.721,2.3725653,77.77642,6.9578385,694.52594,20.89811,3547.1494,MenuId: 1 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 1011 - Cinnamon roll  Cost: 14.0 DeliveryTime(min): 45,MenuId: 11247 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 3008 - Apricot Pork Medallions  Desert: 3022 - Arancia Genovese  Cost: 14.0 DeliveryTime(min): 38,MenuId: 36562 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3068 - Arni Lemonato  Desert: 1007 - Chocolate Fudge  Cost: 19.0 DeliveryTime(min): 34,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,69,47.6
20150616_150922,Version3,10,500,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.852981567,0.860340238,0.857342464,286,329,303.3,2628.531,304.399,124.17563,106.148766,1186.4026,2.2055457,74.04574,3.71277,496.0036,15.674782,2851.9236,MenuId: 6 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 3013 - Apricot Sour Cream Pie  Cost: 16.0 DeliveryTime(min): 56,MenuId: 27179 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3085 - Arrabbiata-Style Spagheti  Desert: 3041 - Arkansas Cheesecake  Cost: 15.0 DeliveryTime(min): 22,MenuId: 36397 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3040 - Arkansas Brown Rice  Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 17.0 DeliveryTime(min): 20,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,70,51.4
20150616_150938,Version3,10,750,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.847480714,0.861248791,0.855690551,433,490,454.9,2489.873,206.07944,125.33682,127.56536,1259.7657,2.494259,83.522896,6.3631096,528.8732,16.65356,2704.5906,MenuId: 1 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 1011 - Cinnamon roll  Cost: 14.0 DeliveryTime(min): 45,MenuId: 23103 Starter: 3064 - Arnaud's Sweet Potato and Andouille Soup  MainCourse: 3068 - Arni Lemonato  Desert: 3063 - Arnaud's Creme Brulee  Cost: 20.0 DeliveryTime(min): 21,MenuId: 36566 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3068 - Arni Lemonato  Desert: 5011 - Amaretto Apples with Meringue  Cost: 17.0 DeliveryTime(min): 30,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,73,51
20150616_151001,Version3,10,1000,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.849722266,0.860268354,0.856199622,553,660,605.7,1853.7175,213.31845,80.101746,80.13676,944.73004,1.8930018,81.48705,1.48283,330.60278,12.136475,2492.0864,MenuId: 6 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 3013 - Apricot Sour Cream Pie  Cost: 18.0 DeliveryTime(min): 42,MenuId: 8687 Starter: 3039 - Ark Soup  MainCourse: 3068 - Arni Lemonato  Desert: 3005 - Apricot Pear Tart  Cost: 15.0 DeliveryTime(min): 23,MenuId: 36801 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3094 - Arroz Con Leche De Coco  Desert: 1000 - Lemon bars  Cost: 11.0 DeliveryTime(min): 28,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,66,50.4
20150616_151033,Version3,10,1500,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.850111663,0.863119125,0.858326674,819,970,896.3,2308.0383,234.05275,112.4443,107.30491,1049.6836,2.137675,95.28769,4.95759,532.37335,14.010458,3196.3413,MenuId: 39 Starter: -no starter MainCourse: 3078 - Aromatic Green Casserole  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 17.0 DeliveryTime(min): 66,MenuId: 13427 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 5004 - A Mold of Roquefort  Desert: 3005 - Apricot Pear Tart  Cost: 14.0 DeliveryTime(min): 44,MenuId: 36397 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3040 - Arkansas Brown Rice  Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 17.0 DeliveryTime(min): 20,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,70,50.2
20150616_150907,Version4,10,50,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.84299463,0.857863247,0.849649698,99,115,108.6,2504.1511,264.14944,102.226875,117.65689,1157.9009,2.1199815,65.46969,2.75083,407.1315,13.549084,2574.1372,MenuId: 6 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 3013 - Apricot Sour Cream Pie  Cost: 16.0 DeliveryTime(min): 56,MenuId: 26403 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3056 - Armenian Rice  Desert: 3063 - Arnaud's Creme Brulee  Cost: 10.0 DeliveryTime(min): 20,MenuId: 36666 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3078 - Aromatic Green Casserole  Desert: 5011 - Amaretto Apples with Meringue  Cost: 18.0 DeliveryTime(min): 33,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,66,46
