ID,AlgVersion,Nest Size,Max Iterations,PA,Hill-Climb negih size,T0,alpha,Tmin,TabuSearchIters,Tabu Size,Tabu neigh size,Number of iterations,Fitness Min,Fitness Max,Fitness Avg,Duration Min,Duration Max,Duration Avg,kCal,Carbohydrates,Proteins,Fats,VitA,VitB,VitC,VitD,Calcium,Iron,Sodium,Breakfast,Lunch,Dinner,Snack1,Snack2,Cost,Delivery time
20150616_150818,Version1,5,100,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.705108881,0.771710753,0.72849583,9,15,9.9,5135.4917,407.52243,176.20013,319.17804,1257.2096,3.3772023,151.00578,6.53661,809.5209,25.508501,7752.8315,MenuId: 82 Starter: -no starter MainCourse: 3108 - Artichoke and Cherry Tomato Tarts  Desert: 3013 - Apricot Sour Cream Pie  Cost: 22.0 DeliveryTime(min): 46,MenuId: 28858 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 5008 - Aloha Chicken with 5003 - A Dilly-Of-An-Onion Bread Desert: 3036 - Arizona Pecan Chocolate Rum Pie  Cost: 14.0 DeliveryTime(min): 31,MenuId: 36308 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3028 - Argentine Corn Chicken  Desert: 5013 - Ambrosia Sorbet  Cost: 27.0 DeliveryTime(min): 23,MenuId: 37382 Starter: -no starter MainCourse: 5010 - Amaranth; Fig and Arugula Salad W/sesame Dres  Desert: - no desert  Cost: 27.0 DeliveryTime(min): 30,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 38.0 DeliveryTime(min): 38,128,33.6
20150616_150820,Version1,10,100,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.716100931,0.776372731,0.743020821,17,24,17.8,2806.924,295.52606,149.96585,111.89667,1276.6396,3.3682652,104.115395,9.456157,819.0387,20.85437,4347.5454,MenuId: 4 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 3042 - Arkansas German Baked Pancake  Cost: 31.0 DeliveryTime(min): 71,MenuId: 9004 Starter: 3039 - Ark Soup  MainCourse: 3078 - Aromatic Green Casserole  Desert: 3093 - Arroz Con Leche  Cost: 33.0 DeliveryTime(min): 37,MenuId: 36326 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3031 - Ariel's Peppercorn Steak (Or Steak Au Poivre)  Desert: 5011 - Amaretto Apples with Meringue  Cost: 19.0 DeliveryTime(min): 71,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,105,60
20150616_150823,Version1,15,100,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.7250911,0.787588954,0.760577011,25,31,26.3,3521.1172,268.98053,222.62987,174.37773,1169.2225,3.9627264,78.951675,2.804753,807.6197,26.858932,4284.179,MenuId: 9 Starter: -no starter MainCourse: 3030 - Argentinian Cheeseburger Sandwich  Desert: 1011 - Cinnamon roll  Cost: 23.0 DeliveryTime(min): 86,MenuId: 25721 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3017 - Apricot Turkey Roast  Desert: 1031 - Vegetable Chilli  Cost: 19.0 DeliveryTime(min): 27,MenuId: 37151 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1270 - Lamb Grill with 1131 - Rice Pilaf Desert: 1000 - Lemon bars  Cost: 12.0 DeliveryTime(min): 26,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 33.0 DeliveryTime(min): 88,97,65.2
20150616_150828,Version1,20,100,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.731873035,0.78929162,0.759512323,33,40,35.4,4468.301,379.81537,184.85403,251.27994,1131.4055,3.633618,117.39215,5.3715153,817.63306,29.105839,8196.126,MenuId: 24 Starter: -no starter MainCourse: 3049 - Armenian Sandwich  Desert: 3042 - Arkansas German Baked Pancake  Cost: 14.0 DeliveryTime(min): 29,MenuId: 28400 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 1270 - Lamb Grill with 5003 - A Dilly-Of-An-Onion Bread Desert: 3009 - Apricot Rice Pudding  Cost: 26.0 DeliveryTime(min): 46,MenuId: 36793 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3092 - Arroz Con Garbanzos  Desert: 1031 - Vegetable Chilli  Cost: 21.0 DeliveryTime(min): 27,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37382 Starter: -no starter MainCourse: 5010 - Amaranth; Fig and Arugula Salad W/sesame Dres  Desert: - no desert  Cost: 27.0 DeliveryTime(min): 30,98,46.2
20150616_150834,Version1,25,100,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.722183406,0.823785901,0.770437276,42,49,44.8,4073.1562,261.2903,302.65164,205.55124,1010.2077,6.94757,121.98177,4.1663666,1026.3567,31.063414,5026.789,MenuId: 11 Starter: -no starter MainCourse: 3030 - Argentinian Cheeseburger Sandwich  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 28.0 DeliveryTime(min): 36,MenuId: 5805 Starter: 3025 - Arcadian Garlic Soup  MainCourse: 3094 - Arroz Con Leche De Coco  Desert: 3001 - Apricot Nut Muffins  Cost: 10.0 DeliveryTime(min): 38,MenuId: 37009 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 5006 - Al and Tipper Gore's Chinese Chicken with Walnuts  Desert: 5014 - Amish Sugar Cookies  Cost: 12.0 DeliveryTime(min): 33,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,74,37.8
20150616_150841,Version1,30,100,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.750070035,0.803703845,0.772433829,50,56,52.3,3830.463,464.80222,219.33629,131.506,1245.5012,4.2825646,118.04775,6.100865,851.18384,33.40937,5421.479,MenuId: 100 Starter: -no starter MainCourse: 5017 - An Irish Fry - Country Living  Desert: 3042 - Arkansas German Baked Pancake  Cost: 30.0 DeliveryTime(min): 36,MenuId: 26085 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3034 - Arizona Chicken Fajitas  Desert: 3001 - Apricot Nut Muffins  Cost: 13.0 DeliveryTime(min): 81,MenuId: 36111 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1013 - Pasta salad  Desert: 1000 - Lemon bars  Cost: 17.0 DeliveryTime(min): 75,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,82,70.2
20150616_150851,Version1,50,100,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.740171432,0.815603018,0.771813518,85,91,87.4,3679.2688,293.32355,209.63097,192.14378,1575.7725,4.3059516,205.6238,10.016479,1053.0178,23.884655,5169.447,MenuId: 13 Starter: -no starter MainCourse: 3046 - Armadillo Eggs  Desert: 1011 - Cinnamon roll  Cost: 23.0 DeliveryTime(min): 91,MenuId: 27718 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3107 - Artichoke and Leek Pizza  Desert: 3036 - Arizona Pecan Chocolate Rum Pie  Cost: 12.0 DeliveryTime(min): 25,MenuId: 37300 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1278 - Peach Pork Saute with 5005 - A Taste of Thailand Desert: 5016 - Amor Frio (Cold Love) - Wheat-Free Recipe  Cost: 36.0 DeliveryTime(min): 34,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,93,54.2
20150616_150818,Version2,5,100,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.759554446,0.828599572,0.796403342,9,10,9.7,4231.56,395.9756,213.16748,203.78035,1310.279,4.2568707,143.33823,5.2264004,829.5932,29.00138,4977.8755,MenuId: 10 Starter: -no starter MainCourse: 3030 - Argentinian Cheeseburger Sandwich  Desert: 3013 - Apricot Sour Cream Pie  Cost: 20.0 DeliveryTime(min): 48,MenuId: 26420 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3057 - Armenian Rice Pilaf  Desert: 3009 - Apricot Rice Pudding  Cost: 11.0 DeliveryTime(min): 28,MenuId: 36111 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1013 - Pasta salad  Desert: 1000 - Lemon bars  Cost: 13.0 DeliveryTime(min): 79,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 41.0 DeliveryTime(min): 56,97,54.2
20150616_150820,Version2,10,100,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.797716081,0.837588489,0.817653513,16,22,17.3,2673.891,272.91025,180.01436,100.062355,1103.8679,3.8544297,116.959114,6.5194063,559.4439,20.226723,4003.5364,MenuId: 24 Starter: -no starter MainCourse: 3049 - Armenian Sandwich  Desert: 3042 - Arkansas German Baked Pancake  Cost: 14.0 DeliveryTime(min): 29,MenuId: 28719 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 1278 - Peach Pork Saute with 5003 - A Dilly-Of-An-Onion Bread Desert: 5014 - Amish Sugar Cookies  Cost: 32.0 DeliveryTime(min): 78,MenuId: 37118 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1269 - Herbed Pork Cutlets with 1132 - Rice Pilaf with Mushrooms Desert: 5013 - Ambrosia Sorbet  Cost: 16.0 DeliveryTime(min): 23,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,84,50.2
20150616_150823,Version2,15,100,0.6,10,0.001,0.7,1.00E-04,10,10,10,0,0.781709611,0.831190705,0.816884446,24,30,25.8,3366.084,338.30533,228.05527,128.17455,1340.8755,5.392822,256.46384,5.580825,739.62256,27.681118,4751.0522,MenuId: 23 Starter: -no starter MainCourse: 3049 - Armenian Sandwich  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 21.0 DeliveryTime(min): 43,MenuId: 28430 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 1270 - Lamb Grill with 5005 - A Taste of Thailand Desert: 3009 - Apricot Rice Pudding  Cost: 20.0 DeliveryTime(min): 97,MenuId: 36815 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3095 - Arroz Con Pollo  Desert: 1254 - Beef Stroganoff  Cost: 11.0 DeliveryTime(min): 87,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,76,56.2
