ID,AlgVersion,Nest Size,Max Iterations,PA,Hill-Climb negih size,T0,alpha,Tmin,TabuSearchIters,Tabu Size,Tabu neigh size,Number of iterations,Fitness Min,Fitness Max,Fitness Avg,Duration Min,Duration Max,Duration Avg,kCal,Carbohydrates,Proteins,Fats,VitA,VitB,VitC,VitD,Calcium,Iron,Sodium,Breakfast,Lunch,Dinner,Snack1,Snack2,Cost,Delivery time
20150616_150802,Version1,10,100,0.2,10,0.001,0.7,1.0E-4,10,10,10,0,0.7085270285606384,0.8015350103378296,0.7441964983940125,25,96,46.8,3164.368,352.2814,121.42262,147.95642,1256.9601,2.7593706,142.74525,3.2882597,586.41455,17.36312,3655.737,MenuId: 5 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 1011 - Cinnamon roll  Cost: 27.0 DeliveryTime(min): 89,MenuId: 26427 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3057 - Armenian Rice Pilaf  Desert: 3022 - Arancia Genovese  Cost: 46.0 DeliveryTime(min): 60,MenuId: 36199 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1283 - Vegetable Penne  Desert: 5014 - Amish Sugar Cookies  Cost: 48.0 DeliveryTime(min): 28,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 40.0 DeliveryTime(min): 56,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 38.0 DeliveryTime(min): 38,199.0,54.2
20150616_150803,Version2,10,100,0.2,10,0.001,0.7,1.0E-4,10,10,10,0,0.7750099301338196,0.8307459354400635,0.803770923614502,21,38,24.3,4213.275,342.1391,180.7991,241.2537,1243.2228,2.4885573,133.26073,3.7425299,812.80963,30.034895,6978.9243,MenuId: 94 Starter: -no starter MainCourse: 5010 - Amaranth; Fig and Arugula Salad W/sesame Dres  Desert: 3013 - Apricot Sour Cream Pie  Cost: 11.0 DeliveryTime(min): 60,MenuId: 26395 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3056 - Armenian Rice  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 30.0 DeliveryTime(min): 46,MenuId: 36627 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3074 - Aromatic and Crispy Duck  Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 21.0 DeliveryTime(min): 22,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 25.0 DeliveryTime(min): 54,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,97.0,56.2
20150616_150804,Version3,10,100,0.2,10,0.001,0.7,1.0E-4,10,10,10,0,0.8456049561500549,0.8574453592300415,0.8539307355880738,113,131,121.0,2321.6099,251.8857,132.3164,92.165596,1155.5581,2.0484428,78.39536,4.2870803,742.74536,14.149902,3228.0168,MenuId: 6 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 3013 - Apricot Sour Cream Pie  Cost: 16.0 DeliveryTime(min): 56,MenuId: 26408 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3056 - Armenian Rice  Desert: 5013 - Ambrosia Sorbet  Cost: 20.0 DeliveryTime(min): 26,MenuId: 36171 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1059 - Shrimp Casserole  Desert: 1000 - Lemon bars  Cost: 16.0 DeliveryTime(min): 31,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,74.0,46.8
20150616_150806,Version4,10,100,0.2,10,0.001,0.7,1.0E-4,10,10,10,0,0.8491349220275879,0.8572673201560974,0.8543196976184845,252,265,259.1,2993.745,342.06393,113.784256,136.97112,1074.3433,2.2543848,95.208855,3.439255,539.1922,16.408566,2993.9983,MenuId: 6 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: 3013 - Apricot Sour Cream Pie  Cost: 18.0 DeliveryTime(min): 42,MenuId: 27845 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 5004 - A Mold of Roquefort  Desert: 3104 - Arroz Dulce  Cost: 10.0 DeliveryTime(min): 24,MenuId: 36721 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3085 - Arrabbiata-Style Spagheti  Desert: 1000 - Lemon bars  Cost: 15.0 DeliveryTime(min): 28,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,65.0,45.0
20150616_150807,Version1,10,100,0.4,10,0.001,0.7,1.0E-4,10,10,10,0,0.7018844485282898,0.7946516275405884,0.7428241729736328,19,25,20.2,4668.5483,301.27966,227.13315,281.0384,1290.8231,3.9291766,56.44421,9.268927,1080.0233,25.479017,8644.457,MenuId: 16 Starter: -no starter MainCourse: 3046 - Armadillo Eggs  Desert: 3042 - Arkansas German Baked Pancake  Cost: 23.0 DeliveryTime(min): 86,MenuId: 27179 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3085 - Arrabbiata-Style Spagheti  Desert: 3041 - Arkansas Cheesecake  Cost: 15.0 DeliveryTime(min): 22,MenuId: 37276 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1278 - Peach Pork Saute with 5000 - A_Better_Banana_Bread;_Low_Fat Desert: 5011 - Amaretto Apples with Meringue  Cost: 19.0 DeliveryTime(min): 46,MenuId: 37382 Starter: -no starter MainCourse: 5010 - Amaranth; Fig and Arugula Salad W/sesame Dres  Desert: - no desert  Cost: 49.0 DeliveryTime(min): 23,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 38.0 DeliveryTime(min): 38,144.0,43.0
20150616_150807,Version2,10,100,0.4,10,0.001,0.7,1.0E-4,10,10,10,0,0.7767114639282227,0.8420479893684387,0.8041850090026855,19,24,19.7,5329.8594,283.5049,154.48538,400.17386,1074.4448,2.4046648,121.8174,5.0449786,874.3623,27.828243,10681.962,MenuId: 93 Starter: -no starter MainCourse: 5010 - Amaranth; Fig and Arugula Salad W/sesame Dres  Desert: 1011 - Cinnamon roll  Cost: 12.0 DeliveryTime(min): 25,MenuId: 25600 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 1274 - Tuna Burger  Desert: 5016 - Amor Frio (Cold Love) - Wheat-Free Recipe  Cost: 19.0 DeliveryTime(min): 79,MenuId: 36562 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3068 - Arni Lemonato  Desert: 1007 - Chocolate Fudge  Cost: 13.0 DeliveryTime(min): 64,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37382 Starter: -no starter MainCourse: 5010 - Amaranth; Fig and Arugula Salad W/sesame Dres  Desert: - no desert  Cost: 27.0 DeliveryTime(min): 30,81.0,59.4
20150616_150808,Version3,10,100,0.4,10,0.001,0.7,1.0E-4,10,10,10,0,0.8457939028739929,0.8583786487579346,0.8524908185005188,90,104,96.2,2054.7378,181.44794,95.785774,109.50735,1131.0408,2.0461986,77.32012,3.3432279,411.75616,12.26037,3080.8057,MenuId: 97 Starter: -no starter MainCourse: 5017 - An Irish Fry - Country Living  Desert: 1011 - Cinnamon roll  Cost: 10.0 DeliveryTime(min): 60,MenuId: 9827 Starter: 3039 - Ark Soup  MainCourse: 5004 - A Mold of Roquefort  Desert: 3005 - Apricot Pear Tart  Cost: 12.0 DeliveryTime(min): 30,MenuId: 36561 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3068 - Arni Lemonato  Desert: 1000 - Lemon bars  Cost: 16.0 DeliveryTime(min): 47,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,60.0,51.6
20150616_150810,Version4,10,100,0.4,10,0.001,0.7,1.0E-4,10,10,10,0,0.8481287956237793,0.8575439453125,0.8525139570236206,222,237,230.6,2332.4475,230.45825,117.275375,104.30109,1025.18,2.537838,75.576355,2.5594778,694.63806,15.744154,2836.143,MenuId: 53 Starter: -no starter MainCourse: 3090 - Arroz Caliente  Desert: 1011 - Cinnamon roll  Cost: 20.0 DeliveryTime(min): 55,MenuId: 10247 Starter: 3039 - Ark Soup  MainCourse: 1269 - Herbed Pork Cutlets with 5003 - A Dilly-Of-An-Onion Bread Desert: 3005 - Apricot Pear Tart  Cost: 13.0 DeliveryTime(min): 47,MenuId: 36566 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3068 - Arni Lemonato  Desert: 5011 - Amaretto Apples with Meringue  Cost: 17.0 DeliveryTime(min): 30,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,72.0,50.6
20150616_150810,Version1,10,100,0.6,10,0.001,0.7,1.0E-4,10,10,10,0,0.7199498414993286,0.7835529446601868,0.7379602670669556,17,25,19.2,3706.08,284.52078,242.58162,176.44615,881.71643,4.4148483,136.34982,4.882,790.159,30.202057,4326.6343,MenuId: 11 Starter: -no starter MainCourse: 3030 - Argentinian Cheeseburger Sandwich  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 28.0 DeliveryTime(min): 58,MenuId: 12347 Starter: 3045 - Arkayagan Abour (Meatball Soup)  MainCourse: 3070 - Arni Psito Me Patates  Desert: 3005 - Apricot Pear Tart  Cost: 13.0 DeliveryTime(min): 24,MenuId: 37332 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 5008 - Aloha Chicken with 5003 - A Dilly-Of-An-Onion Bread Desert: 1007 - Chocolate Fudge  Cost: 34.0 DeliveryTime(min): 20,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,97.0,44.6
20150616_150810,Version2,10,100,0.6,10,0.001,0.7,1.0E-4,10,10,10,0,0.7911629676818848,0.8265789747238159,0.8114638805389405,17,25,18.7,4586.9717,386.34634,266.00333,221.4473,1116.5267,5.4869537,130.68013,4.9479218,910.0151,37.04522,4229.0757,MenuId: 10 Starter: -no starter MainCourse: 3030 - Argentinian Cheeseburger Sandwich  Desert: 3013 - Apricot Sour Cream Pie  Cost: 20.0 DeliveryTime(min): 48,MenuId: 31040 Starter: 3112 - Artichoke and Oyster Soup  MainCourse: 3095 - Arroz Con Pollo  Desert: 3009 - Apricot Rice Pudding  Cost: 13.0 DeliveryTime(min): 26,MenuId: 37172 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1270 - Lamb Grill with 5000 - A_Better_Banana_Bread;_Low_Fat Desert: 1007 - Chocolate Fudge  Cost: 22.0 DeliveryTime(min): 76,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,77.0,56.2
