ID,AlgVersion,Nest Size,Max Iterations,PA,Hill-Climb negih size,T0,alpha,Tmin,TabuSearchIters,Tabu Size,Tabu neigh size,Number of iterations,Fitness Min,Fitness Max,Fitness Avg,Duration Min,Duration Max,Duration Avg,kCal,Carbohydrates,Proteins,Fats,VitA,VitB,VitC,VitD,Calcium,Iron,Sodium,Breakfast,Lunch,Dinner,Snack1,Snack2,Cost,Delivery time
20150613_182549,Version1,5,100,0.5,10,0.001,0.7,1.0E-4,10,10,10,0,0.7003986835479736,0.7840452194213867,0.7241270244121552,14,67,26.5,3614.3228,369.84326,230.78499,138.62416,1251.4907,4.842105,327.19705,8.635856,822.72266,25.61697,6374.4404,MenuId: 3 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 25.0 DeliveryTime(min): 24,MenuId: 17841 Starter: 3048 - Armenian Barley and Yoghurt Soup  MainCourse: 1278 - Peach Pork Saute with 1132 - Rice Pilaf with Mushrooms Desert: 3010 - Apricot Salad  Cost: 10.0 DeliveryTime(min): 25,MenuId: 37350 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 5008 - Aloha Chicken with 5005 - A Taste of Thailand Desert: 5016 - Amor Frio (Cold Love) - Wheat-Free Recipe  Cost: 27.0 DeliveryTime(min): 88,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 28.0 DeliveryTime(min): 89,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,102.0,49.6
20150613_182549,Version1,5,100,0.7,10,0.001,0.7,1.0E-4,10,10,10,0,0.695650577545166,0.76142418384552,0.7228691935539245,14,36,17.7,5043.4463,315.91733,247.18832,310.38977,1027.0645,4.1680794,110.94162,5.054458,1344.8372,33.43007,11638.93,MenuId: 83 Starter: -no starter MainCourse: 3108 - Artichoke and Cherry Tomato Tarts  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 15.0 DeliveryTime(min): 34,MenuId: 32702 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1054 - Cheesy Turkey Casserole  Desert: 3052 - Armenian Nutmeg Cake  Cost: 31.0 DeliveryTime(min): 59,MenuId: 36325 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3031 - Ariel's Peppercorn Steak (Or Steak Au Poivre)  Desert: 1254 - Beef Stroganoff  Cost: 22.0 DeliveryTime(min): 46,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 38.0 DeliveryTime(min): 38,MenuId: 37382 Starter: -no starter MainCourse: 5010 - Amaranth; Fig and Arugula Salad W/sesame Dres  Desert: - no desert  Cost: 49.0 DeliveryTime(min): 23,155.0,40.0
20150613_182549,Version1,10,100,0.5,10,0.001,0.7,1.0E-4,10,10,10,0,0.709587812423706,0.7822687029838562,0.751893949508667,22,38,26.3,3107.8423,390.41858,158.98497,100.84701,1126.5737,3.5289073,109.05364,5.3694415,644.3381,24.060642,3441.695,MenuId: 1 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 1011 - Cinnamon roll  Cost: 30.0 DeliveryTime(min): 49,MenuId: 22865 Starter: 3064 - Arnaud's Sweet Potato and Andouille Soup  MainCourse: 3058 - Armenian Stew  Desert: 3104 - Arroz Dulce  Cost: 42.0 DeliveryTime(min): 61,MenuId: 37326 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 5008 - Aloha Chicken with 5000 - A_Better_Banana_Bread;_Low_Fat Desert: 5011 - Amaretto Apples with Meringue  Cost: 33.0 DeliveryTime(min): 77,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 38.0 DeliveryTime(min): 38,155.0,49.4
20150613_182549,Version1,10,100,0.7,10,0.001,0.7,1.0E-4,10,10,10,0,0.7154841423034668,0.787018895149231,0.7485930800437928,18,32,19.6,2833.6592,250.9344,230.9485,104.251945,1113.8315,4.7650137,132.53029,6.2383127,689.3899,30.096613,7031.796,MenuId: 3 Starter: -no starter MainCourse: 1274 - Tuna Burger  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 25.0 DeliveryTime(min): 24,MenuId: 15951 Starter: 3048 - Armenian Barley and Yoghurt Soup  MainCourse: 3070 - Arni Psito Me Patates  Desert: 3010 - Apricot Salad  Cost: 37.0 DeliveryTime(min): 54,MenuId: 36109 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1003 - Chilli con carne  Desert: 5014 - Amish Sugar Cookies  Cost: 10.0 DeliveryTime(min): 79,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,94.0,55.6
20150613_182550,Version1,15,100,0.5,10,0.001,0.7,1.0E-4,10,10,10,0,0.7353291511535645,0.8156260251998901,0.7651936888694764,27,42,30.9,3400.232,259.89447,236.59966,159.6465,2246.0938,3.1395986,125.828,14.032078,1182.4703,33.68944,4678.9067,MenuId: 77 Starter: -no starter MainCourse: 3106 - Artichoke and Cheese Squares  Desert: 1011 - Cinnamon roll  Cost: 13.0 DeliveryTime(min): 95,MenuId: 26960 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3077 - Aromatic Duck  Desert: 3009 - Apricot Rice Pudding  Cost: 32.0 DeliveryTime(min): 29,MenuId: 36917 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3106 - Artichoke and Cheese Squares  Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 10.0 DeliveryTime(min): 31,MenuId: 37379 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 60,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 42.0 DeliveryTime(min): 42,109.0,51.4
20150613_182550,Version1,15,100,0.7,10,0.001,0.7,1.0E-4,10,10,10,0,0.7274986505508423,0.7939954996109009,0.758138245344162,26,59,32.2,3991.365,248.02652,284.02716,206.26616,1491.2008,5.402462,165.58206,3.943103,1576.6886,29.772451,8852.828,MenuId: 9 Starter: -no starter MainCourse: 3030 - Argentinian Cheeseburger Sandwich  Desert: 1011 - Cinnamon roll  Cost: 41.0 DeliveryTime(min): 20,MenuId: 24433 Starter: 3064 - Arnaud's Sweet Potato and Andouille Soup  MainCourse: 1127 - Garlic Chicken with 1132 - Rice Pilaf with Mushrooms Desert: 1254 - Beef Stroganoff  Cost: 18.0 DeliveryTime(min): 92,MenuId: 36244 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3018 - Apricot Turkey  Desert: 1206 - Cheese Pasta  Cost: 10.0 DeliveryTime(min): 22,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,91.0,51.0
20150613_182551,Version1,20,100,0.5,10,0.001,0.7,1.0E-4,10,10,10,0,0.7206884026527405,0.7982139587402344,0.7590688526630401,33,59,41.5,3194.5464,370.27786,138.64403,142.14438,1208.1327,3.241263,168.22453,2.7096028,802.8892,22.973017,2410.7576,MenuId: 73 Starter: -no starter MainCourse: 3105 - Artichoke and Asparagus Salad with Strawberry Dressing  Desert: 1011 - Cinnamon roll  Cost: 16.0 DeliveryTime(min): 35,MenuId: 26385 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3056 - Armenian Rice  Desert: 3001 - Apricot Nut Muffins  Cost: 17.0 DeliveryTime(min): 97,MenuId: 36663 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3078 - Aromatic Green Casserole  Desert: 1031 - Vegetable Chilli  Cost: 40.0 DeliveryTime(min): 49,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,95.0,62.4
20150613_182551,Version1,20,100,0.7,10,0.001,0.7,1.0E-4,10,10,10,0,0.74847412109375,0.8141652345657349,0.7645731627941131,33,51,39.3,3831.022,357.89456,200.41754,184.1949,1610.8379,4.3394203,135.76073,7.401543,871.5864,24.467503,5564.685,MenuId: 17 Starter: -no starter MainCourse: 3047 - Special Armadillo Eggs  Desert: 1011 - Cinnamon roll  Cost: 27.0 DeliveryTime(min): 26,MenuId: 26179 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 3038 - Arizona Style Chicken Salad  Desert: 3007 - Apricot Pineapple Cake  Cost: 28.0 DeliveryTime(min): 83,MenuId: 36191 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 1283 - Vegetable Penne  Desert: 1000 - Lemon bars  Cost: 25.0 DeliveryTime(min): 40,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,102.0,56.0
20150613_182552,Version1,25,100,0.5,10,0.001,0.7,1.0E-4,10,10,10,0,0.7250561714172363,0.798874020576477,0.7653320729732513,42,192,65.7,4296.234,348.16803,176.7553,245.12224,1295.3906,2.8740685,121.18781,6.097847,1164.2079,22.170458,7834.925,MenuId: 95 Starter: -no starter MainCourse: 5010 - Amaranth; Fig and Arugula Salad W/sesame Dres  Desert: 3019 - Apricot Whole Wheat Crepes  Cost: 12.0 DeliveryTime(min): 23,MenuId: 25532 Starter: 3084 - Arpagyongy Kremleves  MainCourse: 1059 - Shrimp Casserole  Desert: 3052 - Armenian Nutmeg Cake  Cost: 12.0 DeliveryTime(min): 75,MenuId: 37326 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 5008 - Aloha Chicken with 5000 - A_Better_Banana_Bread;_Low_Fat Desert: 5011 - Amaretto Apples with Meringue  Cost: 27.0 DeliveryTime(min): 49,MenuId: 37380 Starter: -no starter MainCourse: 3109 - Artichoke and Lettuce Salad  Desert: - no desert  Cost: 12.0 DeliveryTime(min): 22,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 38.0 DeliveryTime(min): 38,101.0,41.4
20150613_182552,Version1,25,100,0.7,10,0.001,0.7,1.0E-4,10,10,10,0,0.7302555441856384,0.8063267469406128,0.7591163694858551,41,47,42.9,3927.844,465.8511,203.3186,147.42319,1175.6427,5.8945384,217.29782,5.368311,647.3198,28.01232,4719.0913,MenuId: 68 Starter: -no starter MainCourse: 3097 - Arroz Con Pollo Spanish  Desert: 3042 - Arkansas German Baked Pancake  Cost: 32.0 DeliveryTime(min): 26,MenuId: 22547 Starter: 3064 - Arnaud's Sweet Potato and Andouille Soup  MainCourse: 3037 - Arizona Skillet Dinner  Desert: 3005 - Apricot Pear Tart  Cost: 23.0 DeliveryTime(min): 71,MenuId: 36277 Starter: 5015 - Amish-Style Chicken and Corn Soup  MainCourse: 3024 - Arcadian Eight Bean Chili  Desert: 5012 - Amazing Orange-Vanilla Cake Roll  Cost: 14.0 DeliveryTime(min): 62,MenuId: 37388 Starter: -no starter MainCourse: 1147 - Praline Cookies with 5005 - A Taste of Thailand Desert: - no desert  Cost: 12.0 DeliveryTime(min): 32,MenuId: 37364 Starter: -no starter MainCourse: 3011 - Apricot Shortbread Sandwiches  Desert: - no desert  Cost: 10.0 DeliveryTime(min): 99,91.0,58.0
